utt_id,wav_path,phone_len,romaji_len,devo_count,audio_dur_s,strata_group,split
BASIC5000_0044,data/jsut_ver1.1/basic5000/wav/BASIC5000_0044.wav,38,23,1,3.3,1,train
BASIC5000_0045,data/jsut_ver1.1/basic5000/wav/BASIC5000_0045.wav,30,19,1,2.65,1,val
BASIC5000_0046,data/jsut_ver1.1/basic5000/wav/BASIC5000_0046.wav,63,37,0,5.27,3,test
BASIC5000_0047,data/jsut_ver1.1/basic5000/wav/BASIC5000_0047.wav,50,33,3,4.2,3,train
BASIC5000_0048,data/jsut_ver1.1/basic5000/wav/BASIC5000_0048.wav,35,20,0,3.15,1,val
BASIC5000_0049,data/jsut_ver1.1/basic5000/wav/BASIC5000_0049.wav,52,35,4,4.6,3,train
BASIC5000_0050,data/jsut_ver1.1/basic5000/wav/BASIC5000_0050.wav,37,22,0,3.2,1,train
BASIC5000_0051,data/jsut_ver1.1/basic5000/wav/BASIC5000_0051.wav,44,28,3,3.62,2,train
BASIC5000_0052,data/jsut_ver1.1/basic5000/wav/BASIC5000_0052.wav,55,32,1,4.26,3,train
BASIC5000_0053,data/jsut_ver1.1/basic5000/wav/BASIC5000_0053.wav,42,27,4,3.95,2,test
BASIC5000_0054,data/jsut_ver1.1/basic5000/wav/BASIC5000_0054.wav,33,21,2,3.2,1,train
BASIC5000_0055,data/jsut_ver1.1/basic5000/wav/BASIC5000_0055.wav,70,43,3,6.07,4,train
BASIC5000_0056,data/jsut_ver1.1/basic5000/wav/BASIC5000_0056.wav,35,20,1,3.19,1,train
BASIC5000_0057,data/jsut_ver1.1/basic5000/wav/BASIC5000_0057.wav,34,20,0,3.41,1,train
BASIC5000_0058,data/jsut_ver1.1/basic5000/wav/BASIC5000_0058.wav,49,30,2,4.68,2,test
BASIC5000_0059,data/jsut_ver1.1/basic5000/wav/BASIC5000_0059.wav,34,21,1,2.85,1,test
BASIC5000_0060,data/jsut_ver1.1/basic5000/wav/BASIC5000_0060.wav,55,32,0,4.61,3,train
BASIC5000_0061,data/jsut_ver1.1/basic5000/wav/BASIC5000_0061.wav,37,23,2,2.85,1,train
BASIC5000_0062,data/jsut_ver1.1/basic5000/wav/BASIC5000_0062.wav,54,33,1,4.44,3,train
BASIC5000_0063,data/jsut_ver1.1/basic5000/wav/BASIC5000_0063.wav,28,16,1,2.44,1,train
BASIC5000_0064,data/jsut_ver1.1/basic5000/wav/BASIC5000_0064.wav,39,24,2,3.26,1,train
BASIC5000_0065,data/jsut_ver1.1/basic5000/wav/BASIC5000_0065.wav,62,38,1,5.85,3,train
BASIC5000_0066,data/jsut_ver1.1/basic5000/wav/BASIC5000_0066.wav,43,25,0,4.29,2,train
BASIC5000_0067,data/jsut_ver1.1/basic5000/wav/BASIC5000_0067.wav,53,33,2,4.8,3,train
BASIC5000_0068,data/jsut_ver1.1/basic5000/wav/BASIC5000_0068.wav,45,26,2,3.66,2,train
BASIC5000_0069,data/jsut_ver1.1/basic5000/wav/BASIC5000_0069.wav,37,21,1,3.46,1,train
BASIC5000_0070,data/jsut_ver1.1/basic5000/wav/BASIC5000_0070.wav,91,57,2,7.71,4,train
BASIC5000_0071,data/jsut_ver1.1/basic5000/wav/BASIC5000_0071.wav,29,16,0,2.39,1,train
BASIC5000_0072,data/jsut_ver1.1/basic5000/wav/BASIC5000_0072.wav,49,28,1,4.4,2,train
BASIC5000_0073,data/jsut_ver1.1/basic5000/wav/BASIC5000_0073.wav,49,28,1,4.11,2,train
BASIC5000_0074,data/jsut_ver1.1/basic5000/wav/BASIC5000_0074.wav,42,27,2,4.1,2,val
BASIC5000_0075,data/jsut_ver1.1/basic5000/wav/BASIC5000_0075.wav,40,23,1,3.38,2,train
BASIC5000_0076,data/jsut_ver1.1/basic5000/wav/BASIC5000_0076.wav,61,39,3,5.15,3,train
BASIC5000_0077,data/jsut_ver1.1/basic5000/wav/BASIC5000_0077.wav,72,44,2,6.21,4,train
BASIC5000_0078,data/jsut_ver1.1/basic5000/wav/BASIC5000_0078.wav,35,22,1,3.19,1,train
BASIC5000_0079,data/jsut_ver1.1/basic5000/wav/BASIC5000_0079.wav,40,26,1,3.73,2,train
BASIC5000_0080,data/jsut_ver1.1/basic5000/wav/BASIC5000_0080.wav,50,32,2,4.41,3,train
BASIC5000_0081,data/jsut_ver1.1/basic5000/wav/BASIC5000_0081.wav,37,22,1,3.12,1,train
BASIC5000_0082,data/jsut_ver1.1/basic5000/wav/BASIC5000_0082.wav,32,19,0,2.85,1,val
BASIC5000_0083,data/jsut_ver1.1/basic5000/wav/BASIC5000_0083.wav,59,36,1,4.77,3,train
BASIC5000_0084,data/jsut_ver1.1/basic5000/wav/BASIC5000_0084.wav,54,29,0,4.41,3,test
BASIC5000_0085,data/jsut_ver1.1/basic5000/wav/BASIC5000_0085.wav,39,24,1,3.62,1,train
BASIC5000_0086,data/jsut_ver1.1/basic5000/wav/BASIC5000_0086.wav,92,58,4,7.27,4,train
BASIC5000_0087,data/jsut_ver1.1/basic5000/wav/BASIC5000_0087.wav,40,26,2,3.5,2,train
BASIC5000_0088,data/jsut_ver1.1/basic5000/wav/BASIC5000_0088.wav,65,38,0,5.04,3,train
BASIC5000_0089,data/jsut_ver1.1/basic5000/wav/BASIC5000_0089.wav,74,45,2,5.6,4,test
BASIC5000_0090,data/jsut_ver1.1/basic5000/wav/BASIC5000_0090.wav,50,30,2,4.24,3,val
BASIC5000_0091,data/jsut_ver1.1/basic5000/wav/BASIC5000_0091.wav,36,20,1,3.12,1,train
BASIC5000_0092,data/jsut_ver1.1/basic5000/wav/BASIC5000_0092.wav,40,22,0,3.38,2,train
BASIC5000_0093,data/jsut_ver1.1/basic5000/wav/BASIC5000_0093.wav,34,21,0,4.339291666666667,1,test
BASIC5000_0094,data/jsut_ver1.1/basic5000/wav/BASIC5000_0094.wav,37,21,1,3.25,1,train
BASIC5000_0095,data/jsut_ver1.1/basic5000/wav/BASIC5000_0095.wav,38,24,1,3.67,1,train
BASIC5000_0096,data/jsut_ver1.1/basic5000/wav/BASIC5000_0096.wav,36,25,3,3.22,1,test
BASIC5000_0097,data/jsut_ver1.1/basic5000/wav/BASIC5000_0097.wav,44,27,1,3.6,2,train
BASIC5000_0098,data/jsut_ver1.1/basic5000/wav/BASIC5000_0098.wav,57,36,6,4.21,3,val
BASIC5000_0099,data/jsut_ver1.1/basic5000/wav/BASIC5000_0099.wav,48,27,0,3.92,2,train
BASIC5000_0100,data/jsut_ver1.1/basic5000/wav/BASIC5000_0100.wav,44,26,1,4.18,2,val
BASIC5000_0101,data/jsut_ver1.1/basic5000/wav/BASIC5000_0101.wav,45,25,0,3.97,2,train
BASIC5000_0102,data/jsut_ver1.1/basic5000/wav/BASIC5000_0102.wav,47,26,1,4.48,2,train
BASIC5000_0103,data/jsut_ver1.1/basic5000/wav/BASIC5000_0103.wav,42,26,3,3.47,2,train
BASIC5000_0104,data/jsut_ver1.1/basic5000/wav/BASIC5000_0104.wav,63,36,0,4.93,3,train
BASIC5000_0105,data/jsut_ver1.1/basic5000/wav/BASIC5000_0105.wav,46,27,0,4.62,2,val
BASIC5000_0106,data/jsut_ver1.1/basic5000/wav/BASIC5000_0106.wav,61,35,1,5.08,3,train
BASIC5000_0107,data/jsut_ver1.1/basic5000/wav/BASIC5000_0107.wav,57,33,2,4.81,3,train
BASIC5000_0108,data/jsut_ver1.1/basic5000/wav/BASIC5000_0108.wav,54,33,0,4.53,3,test
BASIC5000_0109,data/jsut_ver1.1/basic5000/wav/BASIC5000_0109.wav,37,22,2,3.16,1,train
BASIC5000_0110,data/jsut_ver1.1/basic5000/wav/BASIC5000_0110.wav,35,21,1,3.11,1,train
BASIC5000_0111,data/jsut_ver1.1/basic5000/wav/BASIC5000_0111.wav,58,33,1,5.07,3,train
BASIC5000_0112,data/jsut_ver1.1/basic5000/wav/BASIC5000_0112.wav,34,20,2,2.72,1,train
BASIC5000_0113,data/jsut_ver1.1/basic5000/wav/BASIC5000_0113.wav,53,32,1,5.24,3,val
BASIC5000_0114,data/jsut_ver1.1/basic5000/wav/BASIC5000_0114.wav,35,22,1,3.48,1,train
BASIC5000_0115,data/jsut_ver1.1/basic5000/wav/BASIC5000_0115.wav,36,21,1,3.04,1,train
BASIC5000_0116,data/jsut_ver1.1/basic5000/wav/BASIC5000_0116.wav,64,41,4,5.15,3,train
BASIC5000_0117,data/jsut_ver1.1/basic5000/wav/BASIC5000_0117.wav,46,25,0,3.87,2,train
BASIC5000_0118,data/jsut_ver1.1/basic5000/wav/BASIC5000_0118.wav,48,32,4,3.96,2,train
BASIC5000_0119,data/jsut_ver1.1/basic5000/wav/BASIC5000_0119.wav,33,20,0,2.98,1,train
BASIC5000_0120,data/jsut_ver1.1/basic5000/wav/BASIC5000_0120.wav,42,28,4,3.6,2,train
BASIC5000_0121,data/jsut_ver1.1/basic5000/wav/BASIC5000_0121.wav,54,32,1,4.43,3,train
BASIC5000_0122,data/jsut_ver1.1/basic5000/wav/BASIC5000_0122.wav,29,21,3,3.11,1,train
BASIC5000_0123,data/jsut_ver1.1/basic5000/wav/BASIC5000_0123.wav,37,21,1,3.15,1,train
BASIC5000_0124,data/jsut_ver1.1/basic5000/wav/BASIC5000_0124.wav,44,29,2,3.71,2,val
BASIC5000_0125,data/jsut_ver1.1/basic5000/wav/BASIC5000_0125.wav,45,28,3,4.15,2,test
BASIC5000_0126,data/jsut_ver1.1/basic5000/wav/BASIC5000_0126.wav,39,24,2,3.35,1,train
BASIC5000_0127,data/jsut_ver1.1/basic5000/wav/BASIC5000_0127.wav,73,40,0,5.49,4,train
BASIC5000_0128,data/jsut_ver1.1/basic5000/wav/BASIC5000_0128.wav,57,34,2,4.68,3,train
BASIC5000_0129,data/jsut_ver1.1/basic5000/wav/BASIC5000_0129.wav,44,28,4,3.85,2,test
BASIC5000_0130,data/jsut_ver1.1/basic5000/wav/BASIC5000_0130.wav,78,50,8,6.07,4,test
BASIC5000_0131,data/jsut_ver1.1/basic5000/wav/BASIC5000_0131.wav,36,23,2,3.36,1,train
BASIC5000_0132,data/jsut_ver1.1/basic5000/wav/BASIC5000_0132.wav,33,20,1,3.09,1,train
BASIC5000_0133,data/jsut_ver1.1/basic5000/wav/BASIC5000_0133.wav,62,36,1,5.089291666666667,3,test
BASIC5000_0134,data/jsut_ver1.1/basic5000/wav/BASIC5000_0134.wav,47,27,1,4.17,2,test
BASIC5000_0135,data/jsut_ver1.1/basic5000/wav/BASIC5000_0135.wav,60,36,2,5.04,3,train
BASIC5000_0136,data/jsut_ver1.1/basic5000/wav/BASIC5000_0136.wav,50,27,1,3.94,3,train
BASIC5000_0137,data/jsut_ver1.1/basic5000/wav/BASIC5000_0137.wav,35,20,0,2.83,1,train
BASIC5000_0138,data/jsut_ver1.1/basic5000/wav/BASIC5000_0138.wav,46,29,2,3.69,2,train
BASIC5000_0139,data/jsut_ver1.1/basic5000/wav/BASIC5000_0139.wav,52,30,2,4.59,3,train
BASIC5000_0140,data/jsut_ver1.1/basic5000/wav/BASIC5000_0140.wav,31,19,1,2.61,1,val
BASIC5000_0141,data/jsut_ver1.1/basic5000/wav/BASIC5000_0141.wav,52,30,1,4.17,3,train
BASIC5000_0142,data/jsut_ver1.1/basic5000/wav/BASIC5000_0142.wav,67,43,3,4.92,3,train
BASIC5000_0143,data/jsut_ver1.1/basic5000/wav/BASIC5000_0143.wav,46,26,2,3.46,2,train
BASIC5000_0144,data/jsut_ver1.1/basic5000/wav/BASIC5000_0144.wav,50,29,1,3.73,3,val
BASIC5000_0145,data/jsut_ver1.1/basic5000/wav/BASIC5000_0145.wav,32,20,3,2.73,1,train
BASIC5000_0146,data/jsut_ver1.1/basic5000/wav/BASIC5000_0146.wav,45,26,1,3.61,2,train
BASIC5000_0147,data/jsut_ver1.1/basic5000/wav/BASIC5000_0147.wav,58,35,1,5.37,3,train
BASIC5000_0148,data/jsut_ver1.1/basic5000/wav/BASIC5000_0148.wav,27,16,1,2.48,1,train
BASIC5000_0149,data/jsut_ver1.1/basic5000/wav/BASIC5000_0149.wav,34,20,0,2.77,1,train
BASIC5000_0150,data/jsut_ver1.1/basic5000/wav/BASIC5000_0150.wav,39,24,1,3.32,1,train
BASIC5000_0151,data/jsut_ver1.1/basic5000/wav/BASIC5000_0151.wav,81,50,2,6.27,4,train
BASIC5000_0152,data/jsut_ver1.1/basic5000/wav/BASIC5000_0152.wav,34,22,3,3.3192916666666665,1,train
BASIC5000_0153,data/jsut_ver1.1/basic5000/wav/BASIC5000_0153.wav,47,28,1,3.83,2,train
BASIC5000_0154,data/jsut_ver1.1/basic5000/wav/BASIC5000_0154.wav,39,23,0,3.33,1,train
BASIC5000_0155,data/jsut_ver1.1/basic5000/wav/BASIC5000_0155.wav,44,27,1,3.38,2,train
BASIC5000_0156,data/jsut_ver1.1/basic5000/wav/BASIC5000_0156.wav,38,22,1,3.16,1,train
BASIC5000_0157,data/jsut_ver1.1/basic5000/wav/BASIC5000_0157.wav,51,30,1,4.24,3,train
BASIC5000_0158,data/jsut_ver1.1/basic5000/wav/BASIC5000_0158.wav,43,28,2,3.75,2,train
BASIC5000_0159,data/jsut_ver1.1/basic5000/wav/BASIC5000_0159.wav,44,28,2,3.63,2,test
BASIC5000_0160,data/jsut_ver1.1/basic5000/wav/BASIC5000_0160.wav,45,29,3,4.48,2,train
BASIC5000_0161,data/jsut_ver1.1/basic5000/wav/BASIC5000_0161.wav,43,28,3,3.82,2,train
BASIC5000_0162,data/jsut_ver1.1/basic5000/wav/BASIC5000_0162.wav,50,31,3,3.79,3,train
BASIC5000_0163,data/jsut_ver1.1/basic5000/wav/BASIC5000_0163.wav,40,24,0,3.34,2,train
BASIC5000_0164,data/jsut_ver1.1/basic5000/wav/BASIC5000_0164.wav,42,27,2,3.65,2,train
BASIC5000_0165,data/jsut_ver1.1/basic5000/wav/BASIC5000_0165.wav,48,29,1,3.99,2,train
BASIC5000_0166,data/jsut_ver1.1/basic5000/wav/BASIC5000_0166.wav,42,23,0,3.4,2,train
BASIC5000_0167,data/jsut_ver1.1/basic5000/wav/BASIC5000_0167.wav,50,30,2,3.84,3,train
BASIC5000_0168,data/jsut_ver1.1/basic5000/wav/BASIC5000_0168.wav,52,30,0,4.71,3,val
BASIC5000_0169,data/jsut_ver1.1/basic5000/wav/BASIC5000_0169.wav,64,38,1,5.42,3,test
BASIC5000_0170,data/jsut_ver1.1/basic5000/wav/BASIC5000_0170.wav,34,20,0,2.8,1,train
BASIC5000_0171,data/jsut_ver1.1/basic5000/wav/BASIC5000_0171.wav,26,15,0,2.55,1,train
BASIC5000_0172,data/jsut_ver1.1/basic5000/wav/BASIC5000_0172.wav,70,40,2,5.06,4,train
BASIC5000_0173,data/jsut_ver1.1/basic5000/wav/BASIC5000_0173.wav,35,21,1,2.97,1,train
BASIC5000_0174,data/jsut_ver1.1/basic5000/wav/BASIC5000_0174.wav,40,23,0,3.33,2,val
BASIC5000_0175,data/jsut_ver1.1/basic5000/wav/BASIC5000_0175.wav,33,19,0,2.9,1,val
BASIC5000_0176,data/jsut_ver1.1/basic5000/wav/BASIC5000_0176.wav,52,30,1,3.91,3,train
BASIC5000_0177,data/jsut_ver1.1/basic5000/wav/BASIC5000_0177.wav,58,34,0,4.99,3,train
BASIC5000_0178,data/jsut_ver1.1/basic5000/wav/BASIC5000_0178.wav,62,36,2,5.11,3,train
BASIC5000_0179,data/jsut_ver1.1/basic5000/wav/BASIC5000_0179.wav,42,28,4,3.55,2,train
BASIC5000_0180,data/jsut_ver1.1/basic5000/wav/BASIC5000_0180.wav,31,18,0,3.13,1,train
BASIC5000_0181,data/jsut_ver1.1/basic5000/wav/BASIC5000_0181.wav,35,22,1,3.37,1,train
BASIC5000_0182,data/jsut_ver1.1/basic5000/wav/BASIC5000_0182.wav,43,26,1,3.59,2,train
BASIC5000_0183,data/jsut_ver1.1/basic5000/wav/BASIC5000_0183.wav,52,31,2,3.85,3,train
BASIC5000_0184,data/jsut_ver1.1/basic5000/wav/BASIC5000_0184.wav,34,22,1,2.74,1,train
BASIC5000_0185,data/jsut_ver1.1/basic5000/wav/BASIC5000_0185.wav,39,24,1,3.8,1,train
BASIC5000_0186,data/jsut_ver1.1/basic5000/wav/BASIC5000_0186.wav,29,19,3,2.52,1,train
BASIC5000_0187,data/jsut_ver1.1/basic5000/wav/BASIC5000_0187.wav,49,28,2,3.71,2,train
BASIC5000_0188,data/jsut_ver1.1/basic5000/wav/BASIC5000_0188.wav,50,29,1,4.6,3,val
BASIC5000_0189,data/jsut_ver1.1/basic5000/wav/BASIC5000_0189.wav,90,52,1,6.95,4,train
BASIC5000_0190,data/jsut_ver1.1/basic5000/wav/BASIC5000_0190.wav,58,33,1,5.14,3,val
BASIC5000_0191,data/jsut_ver1.1/basic5000/wav/BASIC5000_0191.wav,30,18,1,2.77,1,train
BASIC5000_0192,data/jsut_ver1.1/basic5000/wav/BASIC5000_0192.wav,52,30,1,4.33,3,train
BASIC5000_0193,data/jsut_ver1.1/basic5000/wav/BASIC5000_0193.wav,40,22,1,2.92,2,train
BASIC5000_0194,data/jsut_ver1.1/basic5000/wav/BASIC5000_0194.wav,36,21,0,3.3,1,train
BASIC5000_0195,data/jsut_ver1.1/basic5000/wav/BASIC5000_0195.wav,38,24,2,3.11,1,train
BASIC5000_0196,data/jsut_ver1.1/basic5000/wav/BASIC5000_0196.wav,28,18,2,2.55,1,train
BASIC5000_0197,data/jsut_ver1.1/basic5000/wav/BASIC5000_0197.wav,33,19,1,3.36,1,train
BASIC5000_0198,data/jsut_ver1.1/basic5000/wav/BASIC5000_0198.wav,35,22,2,3.08,1,train
BASIC5000_0199,data/jsut_ver1.1/basic5000/wav/BASIC5000_0199.wav,26,15,0,2.26,1,train
BASIC5000_0200,data/jsut_ver1.1/basic5000/wav/BASIC5000_0200.wav,32,19,0,2.99,1,train
BASIC5000_0201,data/jsut_ver1.1/basic5000/wav/BASIC5000_0201.wav,38,23,0,3.44,1,train
BASIC5000_0202,data/jsut_ver1.1/basic5000/wav/BASIC5000_0202.wav,56,35,5,4.05,3,train
BASIC5000_0203,data/jsut_ver1.1/basic5000/wav/BASIC5000_0203.wav,31,19,0,3.44,1,train
BASIC5000_0204,data/jsut_ver1.1/basic5000/wav/BASIC5000_0204.wav,55,32,1,4.22,3,train
BASIC5000_0205,data/jsut_ver1.1/basic5000/wav/BASIC5000_0205.wav,40,23,0,3.58,2,train
BASIC5000_0206,data/jsut_ver1.1/basic5000/wav/BASIC5000_0206.wav,30,17,0,3.09,1,train
BASIC5000_0207,data/jsut_ver1.1/basic5000/wav/BASIC5000_0207.wav,35,20,1,3.61,1,train
BASIC5000_0208,data/jsut_ver1.1/basic5000/wav/BASIC5000_0208.wav,59,36,1,4.93,3,train
BASIC5000_0209,data/jsut_ver1.1/basic5000/wav/BASIC5000_0209.wav,87,50,1,6.6,4,train
BASIC5000_0210,data/jsut_ver1.1/basic5000/wav/BASIC5000_0210.wav,31,19,1,3.06,1,train
BASIC5000_0211,data/jsut_ver1.1/basic5000/wav/BASIC5000_0211.wav,47,30,3,3.92,2,train
BASIC5000_0212,data/jsut_ver1.1/basic5000/wav/BASIC5000_0212.wav,29,17,0,2.7,1,train
BASIC5000_0213,data/jsut_ver1.1/basic5000/wav/BASIC5000_0213.wav,32,20,2,2.91,1,train
BASIC5000_0214,data/jsut_ver1.1/basic5000/wav/BASIC5000_0214.wav,67,39,1,5.15,3,train
BASIC5000_0215,data/jsut_ver1.1/basic5000/wav/BASIC5000_0215.wav,56,33,1,4.28,3,train
BASIC5000_0216,data/jsut_ver1.1/basic5000/wav/BASIC5000_0216.wav,56,35,4,4.16,3,train
BASIC5000_0217,data/jsut_ver1.1/basic5000/wav/BASIC5000_0217.wav,54,34,3,4.18,3,test
BASIC5000_0218,data/jsut_ver1.1/basic5000/wav/BASIC5000_0218.wav,33,21,2,3.38,1,train
BASIC5000_0219,data/jsut_ver1.1/basic5000/wav/BASIC5000_0219.wav,39,24,0,3.55,1,train
BASIC5000_0220,data/jsut_ver1.1/basic5000/wav/BASIC5000_0220.wav,46,29,3,3.64,2,test
BASIC5000_0221,data/jsut_ver1.1/basic5000/wav/BASIC5000_0221.wav,43,25,1,3.81,2,val
BASIC5000_0222,data/jsut_ver1.1/basic5000/wav/BASIC5000_0222.wav,40,24,3,3.3,2,train
BASIC5000_0223,data/jsut_ver1.1/basic5000/wav/BASIC5000_0223.wav,34,20,1,2.82,1,val
BASIC5000_0224,data/jsut_ver1.1/basic5000/wav/BASIC5000_0224.wav,39,24,2,3.18,1,train
BASIC5000_0225,data/jsut_ver1.1/basic5000/wav/BASIC5000_0225.wav,39,24,0,3.39,1,train
BASIC5000_0226,data/jsut_ver1.1/basic5000/wav/BASIC5000_0226.wav,43,28,3,3.58,2,train
BASIC5000_0227,data/jsut_ver1.1/basic5000/wav/BASIC5000_0227.wav,38,25,5,3.08,1,train
BASIC5000_0228,data/jsut_ver1.1/basic5000/wav/BASIC5000_0228.wav,34,21,0,3.22,1,val
BASIC5000_0229,data/jsut_ver1.1/basic5000/wav/BASIC5000_0229.wav,39,24,2,3.3,1,train
BASIC5000_0230,data/jsut_ver1.1/basic5000/wav/BASIC5000_0230.wav,42,24,0,3.45,2,train
BASIC5000_0231,data/jsut_ver1.1/basic5000/wav/BASIC5000_0231.wav,39,24,1,3.4,1,train
BASIC5000_0232,data/jsut_ver1.1/basic5000/wav/BASIC5000_0232.wav,34,19,0,3.0,1,train
BASIC5000_0233,data/jsut_ver1.1/basic5000/wav/BASIC5000_0233.wav,51,30,2,3.86,3,train
BASIC5000_0234,data/jsut_ver1.1/basic5000/wav/BASIC5000_0234.wav,37,22,3,4.66,1,val
BASIC5000_0235,data/jsut_ver1.1/basic5000/wav/BASIC5000_0235.wav,57,31,1,3.98,3,test
BASIC5000_0236,data/jsut_ver1.1/basic5000/wav/BASIC5000_0236.wav,33,20,1,2.74,1,train
BASIC5000_0237,data/jsut_ver1.1/basic5000/wav/BASIC5000_0237.wav,33,21,3,2.74,1,train
BASIC5000_0238,data/jsut_ver1.1/basic5000/wav/BASIC5000_0238.wav,68,46,6,5.12,3,train
BASIC5000_0239,data/jsut_ver1.1/basic5000/wav/BASIC5000_0239.wav,43,24,0,3.49,2,train
BASIC5000_0240,data/jsut_ver1.1/basic5000/wav/BASIC5000_0240.wav,91,56,3,7.04,4,train
BASIC5000_0241,data/jsut_ver1.1/basic5000/wav/BASIC5000_0241.wav,35,21,0,3.14,1,val
BASIC5000_0242,data/jsut_ver1.1/basic5000/wav/BASIC5000_0242.wav,44,27,4,3.33,2,train
BASIC5000_0243,data/jsut_ver1.1/basic5000/wav/BASIC5000_0243.wav,37,22,0,3.17,1,train
